Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),Air pore space (%),Clay %,exposure time,Iron and Steel Type,Pipe Diameter (inches),Loss Oz/ft2
12.15,7,28.6,1.1,52.5,1,Bessemer Steel,1.5,1.1
12.15,7,28.6,1.1,52.5,3.6,Bessemer Steel,1.5,3.9
12.15,7,28.6,1.1,52.5,5.5,Bessemer Steel,1.5,4.7
12.15,7,28.6,1.1,52.5,7.7,Bessemer Steel,1.5,6.6
12.15,7,28.6,1.1,52.5,9.6,Bessemer Steel,1.5,8.8
12.15,7,28.6,1.1,52.5,11.6,Bessemer Steel,1.5,9.3
6.84,7.3,37.6,2,44.9,2.1,Bessemer Steel,1.5,2.4
6.84,7.3,37.6,2,44.9,4,Bessemer Steel,1.5,3
6.84,7.3,37.6,2,44.9,5.9,Bessemer Steel,1.5,3.4
6.84,7.3,37.6,2,44.9,7.9,Bessemer Steel,1.5,3.6
6.84,7.3,37.6,2,44.9,12,Bessemer Steel,1.5,5.9
6.84,7.3,37.6,2,44.9,17.6,Bessemer Steel,1.5,8.1
177.9,4.8,29.1,18.2,46.1,2,Bessemer Steel,1.5,2
177.9,4.8,29.1,18.2,46.1,4,Bessemer Steel,1.5,3.5
177.9,4.8,29.1,18.2,46.1,5.9,Bessemer Steel,1.5,3.5
177.9,4.8,29.1,18.2,46.1,7.9,Bessemer Steel,1.5,3.9
177.9,4.8,29.1,18.2,46.1,12,Bessemer Steel,1.5,4.1
177.9,4.8,29.1,18.2,46.1,17.6,Bessemer Steel,1.5,5.1
66.7,5.6,22.2,7,17.7,1.1,Bessemer Steel,1.5,1.4
66.7,5.6,22.2,7,17.7,4,Bessemer Steel,1.5,3.5
66.7,5.6,22.2,7,17.7,6.1,Bessemer Steel,1.5,4.6
66.7,5.6,22.2,7,17.7,8,Bessemer Steel,1.5,5.3
66.7,5.6,22.2,7,17.7,12,Bessemer Steel,1.5,6.2
13.15,7,28.8,4.9,35.8,1.9,Bessemer Steel,1.5,1.4
13.15,7,28.8,4.9,35.8,4.1,Bessemer Steel,1.5,2.4
13.15,7,28.8,4.9,35.8,6.2,Bessemer Steel,1.5,4.8
13.15,7,28.8,4.9,35.8,8.1,Bessemer Steel,1.5,5.2
13.15,7,28.8,4.9,35.8,12.1,Bessemer Steel,1.5,5.4
13.15,7,28.8,4.9,35.8,17.5,Bessemer Steel,1.5,8.3
431,5.9,12.2,40.6,7.2,1.9,Bessemer Steel,1.5,0.2
431,5.9,12.2,40.6,7.2,4.1,Bessemer Steel,1.5,0.8
431,5.9,12.2,40.6,7.2,6.2,Bessemer Steel,1.5,0.7
431,5.9,12.2,40.6,7.2,8.1,Bessemer Steel,1.5,0.8
431,5.9,12.2,40.6,7.2,12.1,Bessemer Steel,1.5,0.9
431,5.9,12.2,40.6,7.2,17.5,Bessemer Steel,1.5,1.5
21.2,4.4,34.3,3.7,63.6,1,Bessemer Steel,1.5,0.6
21.2,4.4,34.3,3.7,63.6,3.5,Bessemer Steel,1.5,2.4
21.2,4.4,34.3,3.7,63.6,7.7,Bessemer Steel,1.5,3.7
