Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
74.4,5.6,24.2,12.0,7.5,15.3,1.5,Bessemer Steel,5.2
28.26,6.8,25.04,0.9,15.91,52.17,2.94,Open Hearth iron,0.73
28.2,6.8,24.8,5.5,15.8,52.1,1.5,Bessemer Steel,2.8
12.15,7.0,28.6,1.0,1.1,52.5,1.5,Wrought Iron,1.2
2.78,9.4,24.7,1.9,6.1,6.2,3.0,Open Hearth iron,6.5
74.55,6.61,13.1,7.7,27.65,6.47,1.55,Bessemer Steel,4.51
45.7,5.17,28.98,2.6,9.85,24.1,1.5,Wrought Iron,2.18
110.01,5.27,31.85,10.1,15.42,53.09,3.13,Bessemer Steel,1.62
2.61,9.36,24.74,6.3,6.32,6.13,3.12,Wrought Iron,12.79
76.09,6.29,34.16,11.28,8.56,45.39,1.5,Open Hearth iron,5.25
13.3,5.38,33.11,11.9,6.95,40.24,1.34,Bessemer Steel,5.23
17.7,7.6,25.7,8.0,2.6,46.1,1.5,Bessemer Steel,1.8
15.0,7.0,7.6,8.0,23.2,30.9,3.0,Wrought Iron,5.7
18.43,6.86,28.15,2.9,5.11,34.01,1.5,Open Hearth iron,1.68
9.65,6.03,33.01,12.0,2.24,46.98,1.54,Bessemer Steel,6.74
29.29,7.3,45.52,1.68,20.41,19.34,1.5,Bessemer Steel,0.9
4.89,7.5,54.4,17.6,5.7,70.4,1.5,Open Hearth iron,12.3
13.15,7.0,28.8,4.08,4.9,35.8,1.5,Bessemer Steel,2.39
0.6,3.1,55.4,9.9,68.9,65.0,3.0,Bessemer Steel,9.8
12.15,7.0,28.6,1.42,1.1,52.5,3.0,Open Hearth iron,1.86
9.7,6.0,33.0,10.68,2.3,47.1,1.5,Open Hearth iron,6.9
1.3,7.0,29.4,2.63,7.2,32.4,3.0,Open Hearth iron,1.22
114.0,4.5,13.0,8.07,34.7,5.6,3.0,Bessemer Steel,1.02
137.07,4.87,34.77,6.0,14.9,45.81,1.32,Wrought Iron,7.93
57.0,7.3,17.8,11.7,11.7,15.8,3.0,Bessemer Steel,4.2
10.0,8.8,31.2,8.93,7.2,31.2,1.5,Open Hearth iron,2.1
20.6,7.3,18.0,5.71,10.9,26.0,1.5,Wrought Iron,1.39
137.0,4.7,34.8,2.19,14.9,45.8,3.0,Open Hearth iron,2.49
112.0,3.8,7.0,10.1,3.5,4.5,1.5,Bessemer Steel,7.7
31.9,7.1,12.4,8.0,33.5,12.8,3.0,Wrought Iron,0.9
57.0,7.3,17.8,3.7,11.7,15.8,3.0,Open Hearth iron,1.3
2.95,9.41,24.66,12.1,6.24,6.09,1.46,Wrought Iron,20.95
19.7,4.6,28.4,10.59,3.9,34.2,1.5,Bessemer Steel,2.99
59.8,4.5,30.8,14.25,4.4,51.7,1.5,Bessemer Steel,9.09
51.5,4.9,28.4,5.36,9.6,22.3,1.5,Open Hearth iron,5.03
19.64,4.62,28.3,7.5,3.82,34.29,2.88,Open Hearth iron,2.4
19.7,4.6,28.4,5.7,3.9,34.2,1.5,Bessemer Steel,2.3
23.7,6.2,31.2,4.0,10.8,30.9,3.0,Wrought Iron,2.8
2.9,9.5,21.7,4.15,34.5,9.4,1.5,Bessemer Steel,3.79
74.4,5.6,24.2,2.53,7.5,15.3,1.5,Bessemer Steel,1.91
74.4,5.6,24.2,10.62,7.5,15.3,1.5,Open Hearth iron,4.67
13.15,7.0,28.8,17.5,4.9,35.8,1.5,Open Hearth iron,7.2
66.62,5.58,22.23,1.1,7.02,17.78,3.06,Open Hearth iron,1.4
57.0,7.3,17.8,7.66,11.7,15.8,3.0,Bessemer Steel,2.31
110.0,5.19,31.99,1.4,15.7,53.13,2.89,Wrought Iron,0.3
11.4,7.3,28.4,9.54,16.6,20.3,1.5,Open Hearth iron,2.68
110.0,5.3,32.0,8.86,15.5,53.1,1.5,Bessemer Steel,1.74
19.7,4.6,28.4,7.7,3.9,34.2,3.0,Bessemer Steel,3.0
11.4,7.3,28.4,7.98,16.6,20.3,3.0,Open Hearth iron,2.1
112.0,3.8,7.0,11.24,3.5,4.5,3.0,Open Hearth iron,8.52
66.7,5.6,22.2,3.01,7.0,17.7,3.0,Open Hearth iron,2.91
59.85,4.47,30.74,6.1,4.45,51.72,1.44,Open Hearth iron,5.17
4.89,7.5,54.4,3.44,5.7,70.4,3.0,Wrought Iron,2.85
3.3,7.6,37.0,7.85,8.7,70.1,3.0,Bessemer Steel,4.3
28.2,6.8,24.8,7.29,15.8,52.1,1.5,Wrought Iron,3.19
51.57,5.07,28.42,3.6,9.49,22.27,1.52,Bessemer Steel,3.59
218.47,6.46,20.64,9.83,22.44,21.75,1.5,Bessemer Steel,4.32
2.64,9.39,24.64,8.0,6.07,6.24,1.47,Open Hearth iron,18.13
28.9,7.5,22.4,4.31,3.8,36.3,1.5,Open Hearth iron,2.28
17.8,7.2,25.8,4.78,9.5,36.0,3.0,Bessemer Steel,1.56
2.63,7.4,14.8,3.8,18.7,26.7,3.0,Open Hearth iron,3.2
205.0,4.7,2.8,12.0,38.1,0.6,1.5,Bessemer Steel,2.7
177.9,4.8,29.1,7.9,18.2,46.1,3.0,Wrought Iron,3.7
386.0,4.5,3.0,4.04,32.1,2.6,3.0,Bessemer Steel,0.61
74.4,5.6,24.2,2.74,7.5,15.3,3.0,Bessemer Steel,2.23
15.0,7.0,7.6,7.27,23.2,30.9,1.5,Wrought Iron,5.34
59.8,4.5,30.8,10.64,4.4,51.7,3.0,Wrought Iron,9.69
74.45,5.61,24.18,4.1,7.56,15.26,1.53,Wrought Iron,2.93
51.5,4.9,28.4,8.85,9.6,22.3,3.0,Open Hearth iron,6.58
11.43,7.36,28.45,11.8,16.56,20.41,2.94,Open Hearth iron,2.71
5.7,3.7,42.6,6.91,1.9,87.8,1.5,Bessemer Steel,4.09
2.63,7.4,14.8,9.27,18.7,26.7,1.5,Wrought Iron,10.32
12.73,4.3,34.42,9.9,26.42,71.29,3.12,Bessemer Steel,14.79
82.9,4.4,22.2,9.24,12.0,26.5,3.0,Open Hearth iron,5.62
17.71,7.54,25.67,8.1,2.56,45.96,3.02,Wrought Iron,2.09
49.0,6.7,23.4,10.83,14.7,35.1,1.5,Bessemer Steel,3.7
111.92,3.69,6.87,8.0,3.46,4.75,1.6,Bessemer Steel,5.36
11.48,7.27,28.36,5.6,16.74,20.41,2.84,Wrought Iron,2.81
112.0,3.8,7.0,6.04,3.5,4.5,3.0,Bessemer Steel,4.13
66.7,5.6,22.2,1.1,7.0,17.7,1.5,Bessemer Steel,1.4
112.07,3.89,6.86,10.4,3.51,4.52,3.16,Open Hearth iron,8.75
12.15,7.0,28.6,1.0,1.1,52.5,1.5,Bessemer Steel,1.1
15.0,7.0,7.6,6.32,23.2,30.9,1.5,Bessemer Steel,3.29
0.6,3.1,55.4,6.2,68.9,65.0,3.0,Open Hearth iron,6.2
0.6,3.1,55.4,4.12,68.9,65.0,3.0,Bessemer Steel,6.91
15.0,7.0,7.6,1.92,23.2,30.9,3.0,Wrought Iron,1.23
177.9,4.8,29.1,4.61,18.2,46.1,1.5,Wrought Iron,3.52
0.6,3.1,55.4,9.27,68.9,65.0,3.0,Wrought Iron,10.3
59.8,4.5,30.8,7.7,4.4,51.7,1.5,Open Hearth iron,6.4
17.7,7.6,25.7,10.05,2.6,46.1,3.0,Bessemer Steel,2.4
6.49,6.07,27.36,7.05,9.23,65.0,1.5,Wrought Iron,12.02
85.1,4.86,29.45,2.0,5.36,1.27,1.42,Bessemer Steel,2.65
2.52,7.4,14.84,7.8,18.61,26.92,1.38,Bessemer Steel,3.93
4.89,7.5,54.4,4.9,5.7,70.4,1.5,Bessemer Steel,4.25
11.47,7.33,28.24,11.8,16.62,20.32,1.45,Open Hearth iron,3.08
31.19,7.04,46.77,6.06,23.45,31.81,3.0,Bessemer Steel,2.2
0.6,3.1,55.4,6.2,68.9,65.0,1.5,Wrought Iron,8.0
49.0,6.7,23.4,6.1,14.7,35.1,3.0,Bessemer Steel,2.8
35.2,6.2,17.2,1.26,14.4,13.9,3.0,Bessemer Steel,0.51
35.2,6.2,17.2,4.76,14.4,13.9,1.5,Bessemer Steel,2.73
6.84,7.3,37.6,14.27,2.0,44.9,1.5,Open Hearth iron,6.73
82.9,4.4,22.2,3.77,12.0,26.5,1.5,Open Hearth iron,2.78
2.71,7.39,14.82,11.6,18.85,27.01,1.39,Bessemer Steel,9.05
15.0,7.0,7.6,8.19,23.2,30.9,3.0,Open Hearth iron,3.66
13.08,6.89,28.76,8.2,4.77,35.6,1.6,Bessemer Steel,5.23
74.6,6.6,13.0,3.05,27.8,6.6,3.0,Open Hearth iron,1.13
35.22,6.32,17.31,4.0,14.19,13.89,3.12,Open Hearth iron,2.26
10.0,8.8,31.2,1.32,7.2,31.2,3.0,Open Hearth iron,0.4
82.9,4.4,22.2,10.95,12.0,26.5,1.5,Bessemer Steel,6.72
2.9,9.5,21.7,3.38,34.5,9.4,3.0,Open Hearth iron,3.09
17.59,7.61,25.67,1.5,2.6,46.22,1.54,Open Hearth iron,0.48
59.8,4.5,30.8,14.67,4.4,51.7,3.0,Bessemer Steel,9.54
4.08,6.8,24.6,5.67,2.5,62.6,3.0,Bessemer Steel,10.59
10.0,8.8,31.2,11.6,7.2,31.2,1.5,Open Hearth iron,2.9
28.2,6.8,24.8,1.0,15.8,52.1,3.0,Open Hearth iron,0.6
11.4,7.3,28.4,9.8,16.6,20.3,3.0,Open Hearth iron,3.4
286.62,6.28,17.94,7.29,28.26,17.08,3.0,Open Hearth iron,3.97
386.0,4.5,3.0,4.0,32.1,2.6,3.0,Open Hearth iron,0.4
5.7,3.7,42.6,4.24,1.9,87.8,3.0,Open Hearth iron,3.45
20.44,7.27,18.19,17.6,10.97,25.91,1.35,Bessemer Steel,0.85
2.78,9.4,24.7,10.2,6.1,6.2,1.5,Wrought Iron,21.6
74.4,5.6,24.2,8.65,7.5,15.3,1.5,Open Hearth iron,4.27
5.7,3.7,42.6,12.2,1.9,87.8,3.0,Bessemer Steel,8.22
11.4,7.3,28.4,3.72,16.6,20.3,1.5,Bessemer Steel,1.57
116.89,3.81,6.93,11.81,4.01,4.47,3.0,Bessemer Steel,8.84
17.7,7.6,25.7,13.74,2.6,46.1,1.5,Open Hearth iron,3.44
35.2,6.2,17.2,1.1,14.4,13.9,3.0,Bessemer Steel,0.4
14.97,6.85,7.63,5.1,23.13,30.92,1.6,Open Hearth iron,2.88
112.0,4.5,13.8,3.44,16.0,17.6,3.0,Wrought Iron,1.42
35.2,6.2,17.2,5.25,14.4,13.9,3.0,Wrought Iron,3.09
13.15,7.0,28.8,1.9,4.9,35.8,3.0,Wrought Iron,1.0
5.09,7.57,54.35,6.1,5.67,70.31,1.53,Bessemer Steel,5.3
15.0,7.0,7.6,8.0,23.2,30.9,3.0,Bessemer Steel,4.3
0.6,3.1,55.4,6.97,68.9,65.0,1.5,Bessemer Steel,8.93
177.9,4.8,29.1,15.23,18.2,46.1,3.0,Bessemer Steel,4.09
74.4,5.6,24.2,11.15,7.5,15.3,3.0,Open Hearth iron,5.36
19.7,4.6,28.4,11.6,3.9,34.2,3.0,Bessemer Steel,3.3
112.0,4.02,9.16,6.98,7.46,8.65,3.0,Wrought Iron,2.43
4.08,6.8,24.6,9.0,2.5,62.6,1.5,Wrought Iron,15.4
0.6,3.1,55.4,8.17,68.9,65.0,3.0,Open Hearth iron,10.84
112.0,3.8,7.0,4.1,3.5,4.5,1.5,Wrought Iron,4.4
39.67,7.12,37.25,7.92,19.59,26.55,1.5,Open Hearth iron,2.14
29.8,7.3,46.4,2.14,20.9,18.6,1.5,Bessemer Steel,1.26
137.0,4.7,34.8,7.35,14.9,45.8,3.0,Wrought Iron,6.17
17.7,7.6,25.7,7.52,2.6,46.1,1.5,Wrought Iron,1.95
17.7,7.6,25.7,8.0,2.6,46.1,3.0,Wrought Iron,2.1
59.8,4.63,30.83,17.0,4.45,51.67,1.47,Open Hearth iron,7.93
59.76,4.42,30.76,17.1,4.62,51.67,3.08,Wrought Iron,9.46
11.4,7.3,28.4,8.32,16.6,20.3,1.5,Wrought Iron,3.36
31.9,7.1,12.4,14.19,33.5,12.8,1.5,Open Hearth iron,4.87
35.2,6.2,17.2,1.1,14.4,13.9,3.0,Open Hearth iron,0.5
57.0,7.3,17.8,5.69,11.7,15.8,1.5,Bessemer Steel,1.78
20.6,7.3,18.0,1.9,10.9,26.0,1.5,Bessemer Steel,0.7
114.0,4.5,13.0,7.9,34.7,5.6,3.0,Bessemer Steel,1.0
6.98,7.16,37.41,6.0,2.0,45.0,1.48,Open Hearth iron,3.86
12.15,7.0,28.6,11.6,1.1,52.5,1.5,Wrought Iron,8.8
128.2,4.74,34.68,3.1,14.33,45.41,1.5,Bessemer Steel,3.38
28.2,6.8,24.8,1.0,15.8,52.1,3.0,Bessemer Steel,0.6
20.6,7.3,18.0,17.5,10.9,26.0,1.5,Wrought Iron,4.1
1.3,7.0,29.4,3.25,7.2,32.4,1.5,Open Hearth iron,1.07
31.9,7.1,12.4,16.89,33.5,12.8,1.5,Open Hearth iron,6.77
112.05,4.49,13.9,17.7,15.94,17.58,3.07,Bessemer Steel,2.56
11.4,7.3,28.4,2.42,16.6,20.3,1.5,Bessemer Steel,1.07
