Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,1.129037806570325
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,-1.708060382423349
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,-1.4853545256045404
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,-1.9665125089910334
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,-1.005665012826027
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,-2.786225877228155
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,-4.0908917036428365
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,-0.8862919658096244
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,-2.778016635333438
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,0.8231424992379919
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,-3.4115880645287295
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,-4.292807204697242
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,-13.636753288932816
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,-3.5168366387730376
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,2.900932177881412
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,-2.326430250340504
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,-4.761318091456781
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,0.30258300623974876
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,-2.750753445609721
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,-2.5906783925540875
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,0.6770100642766692
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,0.859652078779907
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,-1.2229205938088292
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,4.326302776953283,-4.138146519542429
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.915408184303053,-2.3722121747717555
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.26617205176624,-2.972918554732699
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.5012096898038978,-6.040447052780466
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,3.187736076057542,0.8079093707756168
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,15.95534949012989,-7.405915224074068
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,2.5950247728988423,1.0553947120451344
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.860113819499721,-2.098993956771486
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.678942039512585,0.46054343421989363
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.632984581773345,-0.8707703086217526
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.229038125194427,-2.947733605533526
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.7174615928815098,-8.095502676841221
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,8.181771330066894,-1.9258669233255334
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,2.171504608586565,-3.526290277624892
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.610727940818956,-3.226168510217886
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.634563449653523,-1.179148103576286
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,13.281795283107614,1.3680062850948205
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.695313777632231,1.1703596263184677
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,2.874950649332488,-0.40901322906598436
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.137840257309421,-2.29241271484947
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,3.7919226721599433,0.8001313442997389
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.52763023048243,0.4817622440204482
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,10.1273636584127,2.763887994789855
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,5.301401322281108,1.4370462629556484
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.068833749808024,-2.4838080319516656
