Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,-2.8912396526078346
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,-7.193613532475626
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,-0.8156691592877325
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,-3.327637347046327
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,-2.4895895964867525
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,-7.127432497752348
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,-9.420060041133535
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,-0.14987817321282695
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,-5.640199381669778
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,-5.480737884678293
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,-5.119087968887644
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,-2.32259711503909
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,-4.2572635646795565
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,-5.8824881406697465
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,2.7785797402055916
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,-7.493016954355086
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,-0.9611471609294719
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,-1.5053091386906146
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,-7.053521093582467
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,-3.6483587171271905
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,-3.8675679337322966
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.3269569380570549
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,-5.3650601514083185
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,-1.700693896612474
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,-1.6860805397293064
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,-3.3320165250455336
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,-5.893581175150458
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,-1.5837263065108946
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,3.7402785131105896
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,-6.314934338202564
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,-3.7013143072236425
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,-2.441559844135537
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,-2.0217849436544317
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,-3.1627782964453512
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,-4.346625506858068
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,-1.191315118236224
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,-17.031889502625248
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,-4.477343525700726
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,-10.231988841732392
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,1.7251046908591594
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,1.4384094297822017
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,-2.4276422796282837
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,-4.104171617280715
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,-2.889542579959227
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,0.4742506977314921
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,7.1446000000000005,3.881910071181877
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,4.294633333333333,0.08733189339560886
