Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,-1.3218692257339006
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,-1.7786805150861933
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,-0.3739113794705008
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,-1.9368834693634915
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,-1.251328275472061
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,-1.866423376682537
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,-3.9962113172922757
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,-2.1411717847562333
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,-1.2726900260026661
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,-0.7365537462008329
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,-1.3673831124831555
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,-3.811173629397478
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,-0.7487656120478258
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,-1.168864518536595
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,1.5123829454801268
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,-1.2308586676788862
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,0.4406100618573339
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,-0.3212865170540544
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,-1.9787929776774311
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,-1.058174388857094
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,-0.9888995989964043
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,-0.3870760315058003
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,-2.0038065343258533
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,-1.0150662843927594
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,-0.8273925395015688
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,-2.4304683851581985
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,-1.5559243025812257
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,1.4351907104062152,-1.367239897181917
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,14.138288345225256,0.6106953864236352
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.933050484615254,-3.4097190466723526
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.367838177057594,-1.950789271340606
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.84258320058858,0.35247437436844364
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9246365613816354,-1.0346142421652442
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.4504359243435616,-0.7975394441394507
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.6203320967335542,-2.5298884924110334
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.521348171988051,-1.2777922043853893
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.97079559103612,-3.53343558576819
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.6804807265512949,-2.0439255784247714
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.012803233331256,-2.70013014617089
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,9.888613371467883,0.3445726457067253
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.921103880117943,0.7036438375052504
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.5750398604179265,-2.1631698221627547
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.0059566760392005,-1.682241556382733
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0006622629808577,-1.2061827874769506
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.3318166210248894,0.3840258400168639
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,8.893150869589022,1.6518936048011243
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,3.603275108831726,-1.0405081801651308
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.420657321214694,-0.44526056514415074
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4816962713798936,-1.5687580301548008
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.042769677280296,0.8446788578577393
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.246386896980564,-5.053506718425728
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.290379651153454,-2.2038294804842544
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.375877894250557,-1.287796922931298
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.080869849037367,-3.24086198223487
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.4763023135945503,-3.7423778514095956
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5908215811172093,-1.6564164172594324
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.7197259631546788,-1.2048866775986755
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.522863734667698,-1.130524918557479
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.022585516348844,0.4621065818305406
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.552185044872999,-0.8862828921810395
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.621542276909198,-4.772675267967718
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,11.89799046952861,-0.2256586244249348
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.213989673427312,-0.9263149906113836
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.0715829240028105,-0.7306768422132797
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.02335449464745,-0.9502470123253172
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,5.85563482568255,-1.0660526311191616
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.3151454720650655,-2.078278441023201
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,18.33211964806758,1.3089055335014173
