Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,0.5645189033258586
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,-0.8540301912526773
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,-0.7426772628129413
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,-0.9832562545854877
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,-0.50283250638436
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,-1.3931129390223251
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,-2.045445854037817
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,-0.44314598287035806
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,-1.3890083180699861
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,0.4115712496633043
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,-1.7057940332294566
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,-2.1464036051517965
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,-6.818418370204934
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,-1.75841832049008
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,1.4504660889614034
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,-1.1632151253622973
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,-2.3806590504921834
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,0.15129150316888876
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,-1.3753767231919247
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,-1.295339196578761
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,0.33850503218421146
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,0.4298260394338503
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,-0.6114602968899573
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,4.326302776953283,-2.069073262113793
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.915408184303053,-1.186106087594501
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.26617205176624,-1.4864592779016528
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.5012096898038978,-3.0202235453446855
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,3.187736076057542,0.40395468543228635
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,15.95534949012989,-3.702957690264846
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,2.5950247728988423,0.5276973560641606
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.860113819499721,-1.0494969785080195
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.678942039512585,0.23027171715783154
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.632984581773345,-0.435385154275758
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.229038125194427,-1.4738668032832896
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.7174615928815098,-4.0477514966780355
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,8.181771330066894,-0.9629334617438845
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,2.171504608586565,-1.763145139929252
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.610727940818956,-1.6130842558662657
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.634563449653523,-0.5895740517704012
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,13.281795283107614,0.6840031425851388
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.695313777632231,0.5851798131994217
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,2.874950649332488,-0.20450661448556678
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.137840257309421,-1.1462063576050512
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,3.7919226721599433,0.40006567219443356
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.52763023048243,0.24088112205793294
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,10.1273636584127,1.3819439974168841
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,5.301401322281108,0.7185231315146899
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.068833749808024,-1.2419040162289539
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.9849283645981664,-1.2210227836623069
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,12.920343067081795,-0.7992703580410375
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,2.0442259547187995,-0.21787501095520495
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.1988044557300075,-3.9736614249947633
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,22.28939956499528,0.1734486126397741
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.093434562867648,-3.628144260251671
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.45280178844245,-3.0533992757196478
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,2.227357110485849,-0.1895188626703265
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.5655620828183974,-1.927152596651103
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.6750170090724312,-0.7444046668045496
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,19.956409196824765,0.5029491677318533
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,4.712449879571528,0.35595977263461936
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.801648436970299,-1.7623068644487607
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.269436497280376,0.15652200661990856
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.593229060003878,-4.088107646511782
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,3.8139628020117566,-1.4962753029180038
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.800119552073302,-0.9413020427993598
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.559408903713223,-1.0232945308348695
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.54783900662899,-1.027672095601979
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.63672550395528,1.1008516141912095
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,2.022928245368127,-1.8777864514654836
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.8213956714190886,-1.5673159855238095
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,4.423308962761064,-1.3731453382299539
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.756905903852031,-5.778259419374372
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,4.312996358871889,-0.4261837255682824
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.920610692109374,-0.3865609608086529
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.4423747976400652,-2.3819010892689145
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.659582511023203,-1.07758250558628
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,14.701898111111545,0.5176633266953151
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.481709867091704,-3.451127378655614
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.2730188656294668,-2.6170374365720006
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,1.9199102037233784,0.18224672384685484
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.07360998780202,-0.6417128727490929
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.992784257893573,-1.1622415976848857
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,7.761621210932498,1.1934310717469898
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,3.676175122666345,0.1099077716899849
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,4.1697014626487245,0.2387818041357305
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.776269429606213,-1.0974212867112332
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.6725503092897034,-2.0600335741315967
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.853947196750127,-0.6656347486676115
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.5542530774941845,0.2197352878619089
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.738616239355347,-1.8239701431732842
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,2.975168691692419,0.1355519552306888
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.220287163952615,-0.0836937922856092
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.6037250340991056,-1.0974378759634398
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.688596916758687,-6.569083077407399
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.4187863852911877,-1.0823855018074544
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.528244019921519,-1.419826407918573
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.551057823133046,-1.6663142527060768
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,2.1929319336013227,-0.23201789495137864
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,2.5248794503629544,0.515741192814211
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.0432330593519596,-1.9189093874269143
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7681623783002367,-2.1907072650309938
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,5.778173018873121,-0.650419199630734
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,2.0854126475252173,-0.3924314450804205
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,2.3983988117966084,0.5644036289939981
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,3.4675426096905597,-1.376512795360451
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,8.873741687406513,-0.18183165180918429
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.5474380547953661,-1.6223303899375976
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,4.897802829829597,-0.9108128372963732
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.580962238519495,0.17476158426137392
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9469787999337886,-0.8510209156188602
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,10.506349743568926,-0.6805276554369608
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,-0.041139823720708,-0.6140775791471506
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.605996767702159,-0.4525617977270061
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,1.881974198075444,-0.10316936445564993
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.364240390000477,-2.745123136814169
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.464287644987213,0.16066170424627646
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,5.367372362100704,-1.5732392505008133
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.0797506185048533,-0.34213912893439025
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.88916451131908,-1.8915655143521246
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.339358372269295,-1.4297933841468866
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.420370331827367,1.0259088516370003
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.5455547810766896,-2.0750131122502755
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.833476383770357,-2.2684118674782603
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.95202083686598,-1.1646853082553115
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.65816943559932,-1.354139182094923
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,5.026940467102619,-1.087849019420247
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,5.922718849086305,0.6664341181292726
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,2.112319510677888,0.30918876962660496
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,2.01190917004032,-1.1028939314112527
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,2.9339074520849517,-1.0048691141162462
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,2.4559795292705155,1.233731723677517
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,2.282770953974986,-0.6028878327137498
9.7,6.0,33.0,2.0,2.3,47.1,3.0,True,False,False,2.597029563044621,-0.9237445347081814
51.5,4.9,28.4,6.34,9.6,22.3,1.5,False,True,False,5.098093402778029,-1.0443894871123145
8.0,6.8,72.8,10.08,34.0,46.2,3.0,False,False,True,11.90082363315346,0.01076547700002797
17.8,7.2,25.8,1.0,9.5,36.0,1.5,True,False,False,0.4308821630419193,-3.477576506346325
4.89,7.5,54.4,7.41,5.7,70.4,3.0,False,False,True,5.327128021141188,-0.5397877068671925
12.7,4.2,34.5,2.24,26.6,71.2,3.0,False,True,False,4.636717249595382,-2.567628697649869
112.0,3.8,7.0,5.4,3.5,4.5,3.0,False,False,True,5.210766981001889,0.17459762144274052
112.0,3.8,7.0,10.6,3.5,4.5,1.5,False,False,True,7.829298947617579,-0.12703703811929454
12.15,7.0,28.6,9.11,1.1,52.5,3.0,False,False,True,8.133474605867914,-0.6041745054147533
28.2,6.8,24.8,1.0,15.8,52.1,1.5,False,True,False,0.6264589172635944,-3.632162037096339
206.43,4.04,5.62,8.35,13.36,3.85,1.5,False,True,False,3.627317286739137,0.6326977348722348
19.64,4.56,28.36,5.7,3.72,34.28,2.87,False,True,False,2.387098829822227,-1.5745591604168065
13.2,5.3,33.1,17.4,6.9,40.3,1.5,False,False,True,6.545990511845666,-0.1578129748872139
57.0,7.3,17.8,2.43,11.7,15.8,3.0,True,False,False,0.8719558555089248,-4.8228108322115055
35.07,6.35,17.04,5.9,14.29,14.15,2.89,False,False,True,3.036519816402449,-1.3337771180125642
137.0,4.7,34.8,10.12,14.9,45.8,3.0,True,False,False,9.672200514515788,-1.043554621774625
51.5,4.9,28.4,11.6,9.6,22.3,3.0,True,False,False,7.44468772825484,-1.034758237161927
51.52,4.92,28.19,7.5,9.74,22.42,1.52,False,False,True,6.155468518825234,-3.3391097667708483
21.22,4.32,34.21,16.7,3.91,63.6,1.48,False,False,True,6.231477301991535,-0.27249491393089703
177.9,4.8,29.1,12.0,18.2,46.1,1.5,False,True,False,4.550994961323971,-1.0469834105367666
17.7,7.6,25.7,2.59,2.6,46.1,1.5,True,False,False,0.3508949403139265,-0.8460534954296773
14.94,6.79,7.54,4.1,23.22,31.07,3.07,True,False,False,2.804001590823592,-1.3704147485045073
3.3,7.6,37.0,8.57,8.7,70.1,1.5,False,True,False,4.700074510172885,-0.37095570131815747
6.13,6.45,41.16,5.59,32.59,45.11,3.0,False,True,False,7.975292250752073,0.9459630231521082
12.15,7.0,28.6,9.6,1.1,52.5,1.5,True,False,False,8.05920178877656,-0.30002701017327627
5.74,3.84,42.59,12.0,1.85,87.84,1.43,False,False,True,6.816027466643785,0.4724833855172945
46.93,6.75,16.17,3.82,30.04,20.56,1.5,False,False,True,1.4526548568846556,-0.2579228281840228
6.87,7.43,37.43,12.1,2.15,44.9,3.07,True,False,False,7.03680276528921,-0.6995621819749596
2.34,8.8,28.7,7.5,5.0,24.5,1.5,True,False,False,17.489811724297205,1.2556696758690664
386.07,4.56,3.05,12.1,32.12,2.44,3.1,True,False,False,3.867383368773038,0.4869734297818681
137.0,4.7,34.8,9.58,14.9,45.8,1.5,False,False,True,9.74852640672043,-1.9556421985400274
431.0,5.9,12.2,1.9,40.6,7.2,1.5,True,False,False,1.65682984479304,0.37626273583113345
431.0,5.9,12.2,1.9,40.6,7.2,1.5,False,True,False,1.500663254086951,0.2628743298904272
74.54,6.7,13.11,8.1,27.83,6.37,1.59,False,False,True,4.31594931658077,-3.0802163012209225
2.78,9.4,24.7,8.1,6.1,6.2,3.0,True,False,False,17.99130516445107,0.2766424865797654
82.9,4.4,22.2,10.11,12.0,26.5,3.0,True,False,False,6.443647707468299,-0.7208220357234438
57.0,7.3,17.8,9.66,11.7,15.8,3.0,True,False,False,3.2961854104517,-0.7848559500209172
51.5,4.9,28.4,1.7,9.6,22.3,3.0,False,False,True,2.3504304940875427,-0.050840245253448754
17.7,7.6,25.7,6.1,2.6,46.1,1.5,True,False,False,1.949326810242339,-1.0517473756277407
13.2,5.3,33.1,15.64,6.9,40.3,3.0,False,False,True,6.699389668140973,-0.13996384427885775
17.8,7.46,25.83,12.1,2.68,46.02,3.02,False,True,False,3.5894767931615297,-0.6358659425469716
0.6,3.1,55.4,8.48,68.9,65.0,1.5,False,False,True,11.709321106481603,0.9557725238735411
4.08,6.8,24.6,7.7,2.5,62.6,3.0,True,False,False,14.762990029528078,0.44660067242224305
35.2,6.2,17.2,7.66,14.4,13.9,1.5,True,False,False,3.843989918046256,-1.0906141133567746
30.57,5.87,30.16,5.23,3.98,36.84,3.0,False,False,True,3.7566008746554393,-1.7921542986302892
28.2,6.8,24.8,7.67,15.8,52.1,1.5,True,False,False,3.9871058826997463,-0.012977967896440257
9.7,6.0,33.0,8.35,2.3,47.1,3.0,False,False,True,6.795144190695252,-0.9292346202057954
35.2,6.2,17.2,3.8,14.4,13.9,1.5,True,False,False,2.5881308432552275,-1.670617582936915
23.7,6.2,31.2,3.91,10.8,30.9,1.5,True,False,False,2.791830826573433,-0.9117241081071271
2.63,7.4,14.8,1.64,18.7,26.7,3.0,False,False,True,1.6921172131709912,-1.2306001419478134
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,True,False,8.962199920770338,0.6085692472502046
17.56,7.61,25.81,4.0,2.65,46.1,2.94,False,True,False,1.1996638042449712,-4.63936788375505
57.0,7.3,17.8,9.6,11.7,15.8,3.0,True,False,False,3.28069913515335,-0.7325137030159178
6.79,7.26,37.56,6.0,1.94,44.97,2.96,True,False,False,4.296179845085737,-0.7848681498847947
17.8,7.2,25.8,11.7,9.5,36.0,3.0,True,False,False,3.2229337080097165,-2.563089291284035
8.0,6.8,72.8,2.86,34.0,46.2,3.0,False,False,True,2.2565342908927484,-0.8592827381629579
386.0,4.5,3.0,17.2,32.1,2.6,3.0,True,False,False,4.751479774332806,0.6685879434714791
49.0,6.7,23.4,6.46,14.7,35.1,3.0,False,False,True,2.9610127406940854,-3.4733571655740394
12.76,4.32,34.46,5.9,26.71,70.97,1.52,True,False,False,9.348473885402598,-0.8878827986735448
28.93,7.59,22.27,7.6,3.76,36.39,3.08,False,False,True,3.474145234637831,-1.936933913107473
66.7,5.6,22.2,8.0,7.0,17.7,1.5,False,True,False,5.070913633795716,-2.047273592405023
83.0,4.42,22.22,4.1,11.98,26.51,1.71,True,False,False,3.833805402136091,-0.23091693311829614
2.78,9.4,24.7,7.93,6.1,6.2,1.5,True,False,False,17.6948649441167,-0.229243297016074
28.24,6.88,24.7,11.6,15.75,52.16,1.48,False,True,False,5.3248930400170895,-0.2422078251111452
20.6,7.3,18.0,8.43,10.9,26.0,3.0,False,True,False,1.7336475323664438,-1.119777292312964
51.5,4.9,28.4,8.53,9.6,22.3,1.5,True,False,False,6.36668580267888,-0.8517073614793274
112.0,3.8,7.0,10.1,3.5,4.5,3.0,False,False,True,7.6961063004148675,-0.6853899464792625
205.04,4.69,2.91,8.0,38.06,0.46,3.02,False,False,True,3.119378766641922,-0.05194743803820926
205.12,4.69,2.86,1.8,38.28,0.61,1.68,True,False,False,2.0667782520060607,-0.8056928877567503
51.51,4.85,28.1,3.6,9.78,22.55,1.41,False,True,False,3.510544774218245,-0.9927809931852363
112.0,3.8,7.0,10.1,3.5,4.5,3.0,True,False,False,7.620883351562682,-0.12883768414334845
9.9,5.89,32.98,8.0,2.31,47.04,3.01,False,False,True,6.571416299032418,-0.736924159525327
5.7,3.7,42.6,10.8,1.9,87.8,3.0,False,False,True,6.055435186532245,0.04360035233226641
2.78,9.4,24.7,3.4,6.1,6.2,3.0,False,True,False,9.364445422745378,-0.6625121084723548
1.27,7.02,29.35,11.6,7.11,32.27,1.39,False,True,False,5.041428126226363,-3.0247106424826358
3.05,9.36,21.74,1.9,34.71,9.44,3.01,False,False,True,3.253422810068596,-0.45164959570382196
2.34,8.8,28.7,9.24,5.0,24.5,1.5,True,False,False,19.708753236594987,2.129569710738627
74.62,6.55,12.83,1.2,27.82,6.67,1.34,False,False,True,2.346410786437072,0.17932606356139213
28.26,7.0,24.86,16.9,15.84,52.11,3.13,True,False,False,4.81310873089319,-1.4401540228367222
15.0,7.0,7.6,10.79,23.2,30.9,1.5,False,True,False,4.286043060312377,-1.2516129186130005
11.4,7.3,28.4,5.6,16.6,20.3,3.0,False,False,True,2.51904253401781,-0.965067547666929
74.4,5.6,24.2,5.96,7.5,15.3,1.5,True,False,False,3.3826375112916125,-0.3817912903253005
17.7,7.6,25.7,12.1,2.6,46.1,3.0,False,False,True,3.6115538180016142,-0.8878154822365415
178.02,4.74,29.12,3.8,18.18,46.08,1.6,False,False,True,3.5453684019149883,-0.7866485128827511
9.7,6.0,33.0,11.68,2.3,47.1,1.5,False,True,False,7.636823050105674,-0.3054075103207259
4.08,6.8,24.6,9.0,2.5,62.6,3.0,False,False,True,16.284600600789233,-0.6628131462461815
177.9,4.8,29.1,7.22,18.2,46.1,3.0,False,True,False,4.015250336033333,-2.4621632199132923
21.31,4.44,34.18,1.0,3.82,63.76,2.99,True,False,False,0.3450578664074713,-1.0937974973237043
31.9,7.1,12.4,1.9,33.5,12.8,1.5,False,True,False,0.4837699154203363,-1.259591525793696
82.9,4.4,22.2,3.44,12.0,26.5,3.0,False,False,True,3.0433678649816898,-1.0689529135763502
13.2,5.3,33.1,7.9,6.9,40.3,3.0,True,False,False,5.156011833954969,-0.5869657006865332
2.94,9.45,24.71,10.3,6.09,6.11,1.69,True,False,False,20.27221632606071,0.40694156837787876
5.7,3.7,42.6,8.0,1.9,87.8,3.0,True,False,False,4.632655793420012,-0.311079273306339
3.3,7.6,37.0,7.5,8.7,70.1,1.5,False,True,False,3.80603467308958,-0.6615813196542942
11.38,7.25,28.36,7.7,16.59,20.32,3.02,True,False,False,2.62397709607482,-1.0106643359217535
49.0,6.7,23.4,1.4,14.7,35.1,3.0,False,False,True,1.0211964280788606,-0.9707374878806213
31.8,5.82,30.38,4.75,10.45,28.39,1.5,False,False,True,3.8001143077361768,-1.513608286491753
12.15,7.0,28.6,1.0,1.1,46.2,1.5,False,True,False,1.3776853882077489,-1.2812665028785122
