Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,-1.4456198267802505
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,-3.5968068291348514
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,-0.4078345796065448
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,-1.6638186743888408
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,-1.2447947984989702
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,-3.563716307630495
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,-4.710030626127727
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,-0.07493908655671624
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,-2.820099703232979
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,-2.740368952791064
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,-2.5595439915099716
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,-1.1612985577102437
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,-2.128631785030266
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,-2.9412440863759657
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,1.3892898701246148
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,-3.7465085627133003
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,-0.4805735804337705
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,-0.7526545693583219
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,-3.526760601236137
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,-1.8241793598644032
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,-1.9337839685658818
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.1634784690773902
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,-2.6825300849321603
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,-0.8503469483460785
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,-0.8430402699022252
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,-1.6660082633934032
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,-2.946790603805849
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,-0.7918631532783509
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,1.8701392565695176
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,-3.157467194388474
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,-1.850657155000446
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,-1.2207799223033329
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,-1.0108924719300003
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,-1.5813891489183138
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,-2.1733127564111716
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,-0.59565755910126
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,-8.517192691412031
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,-2.2386717663123066
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,-5.11599579308649
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,0.8625523454628804
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,0.7192047149279495
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,-1.2138211400441161
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,-2.0520858108915716
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,-1.4447712904547791
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,0.23712534891351775
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,7.1446000000000005,1.9409550356042646
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,4.294633333333333,0.04366594674771312
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.442399999999999,-0.4118856757601228
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4027800000000004,-1.2475068060015007
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.4808,0.6361534590927569
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.396033333333334,-1.8576856187033295
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.3940119047619053,-1.5417236353117691
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.15740000000001,-2.857710973914311
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.221985000000002,-2.2829295343550506
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.3940333333333315,-2.2446306987897793
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5545,-1.8675611819970872
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.984400000000001,-0.5719920588262968
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.4746378095238115,-1.2923021053094093
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.201399999999985,0.3425963034001754
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.499555555555556,-1.0228865778618503
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.588950000000001,-3.192964440647683
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.7872,0.523070350241698
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.102236229946523,-0.6777389589416173
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.003000000000001,-0.8843076857789708
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.583799999999999,-1.7498500655754767
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.047,-1.8773173569361037
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.159316129032256,-3.4840181348315755
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.0642,0.8896181604994002
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.8812595238095235,-4.486540938734338
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,3.022600000000001,-4.90627526525867
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.844864502164504,-1.1235132668134258
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.7324,-3.589939502635858
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.8534000000000015,-1.642994695445873
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,4.314040000000001,-1.2519033377337923
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.448599999999999,-2.3166840163593596
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.380978033794163,-0.47961452016492406
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,13.0176,1.2126550047385103
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.116066666666665,-1.0968139064272637
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.1407729004328995,-2.826376077187478
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,0.6903999999999998,-3.519980914273738
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.9014926829268294,-1.1990095316771134
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.22118470046083,-0.7791075472053948
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,6.427741666666668,1.5330445101821326
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,2.595,-3.3524072146355763
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,3.5366000000000004,-0.45161376397705927
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,2.033783333333333,-2.5741751162341315
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.9688,-1.7790406962278635
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.496999999999998,-1.8515094729968975
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,5.4688,0.8463831565016997
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.640599999999999,-1.349384006714284
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.7353999999999998,-2.3580978018672196
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,1.2277624999999996,-2.433120975499334
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.105349999999999,-1.8039332695524095
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.895843001443001,-1.5806415291921057
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.004846016260164,-2.5882161523474325
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.356210000000002,-0.8823966799849354
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.8294,-2.4146345956841064
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,1.5505000000000002,-1.8937921941287528
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,0.9808999999999992,-2.0333216053023464
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.3739999999999997,-1.6928195208296746
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.9823999999999996,-2.2788685654001712
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,6.4974,-1.62252315147617
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,1.4997355742296927,-2.4108879962350604
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,0.7963999999999998,-1.8553384502315415
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,3.678,-3.1700856583178103
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,8.376,-1.090644118721313
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.4718,-2.1053749228853222
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,5.175600000000003,-2.084253097873224
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,4.862999999999998,-0.7486598902787917
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.8039999999999999,-1.2587810404688187
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,8.727599999999997,0.24090488097144588
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,0.5761999999999997,-2.5743938149772045
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.841800000000001,-0.1371952390631387
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,2.2286000000000006,0.22202292372559687
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,3.8084,-0.7100899010868398
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,2.930400000000001,-0.4456622977034235
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,4.764967787114845,-0.9287879655450346
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.3812,-0.8945292398480243
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.84873333333333,-1.6540866635801346
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.402399999999997,-1.1960046343460815
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,23.5118,-0.35924968416797604
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.511093001443001,-2.395874299368577
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.8266,-2.337176536728468
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,2.1371999999999995,-0.6987629191444554
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.440868787878788,-3.1973886373683635
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,4.851364444444448,-1.8240898414390714
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,8.443800000000001,-0.5554743752605937
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,0.7386,-4.474141914809761
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,1.6082126829268295,-2.6340474595730194
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,3.3467200000000004,-3.0635829383217428
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,3.9036,0.6863239552621619
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,3.1572000000000005,-1.1171836739479204
