Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,0.0
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,0.0
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,0.8918518584290539
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,0.19684300461665064
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,0.005885043125889334
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,0.0
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,0.0
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,1.0
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,0.0
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,0.0
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,0.0
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,1.0
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,0.24987795925036912
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,0.0
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,0.0
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,0.0
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,0.3599449168344468
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,0.0
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,0.0
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,0.0
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,0.0
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.5811063021987343
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,0.0
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,1.0
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,0.9484916267279132
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,0.7309812694414348
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,0.022919565944190808
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,0.1594548549155393
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,1.0
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,0.005705773419558893
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,0.07199761614795351
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,0.0
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,0.02924934936893376
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,0.0
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,1.0
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,1.0
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,0.0
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,0.0
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,0.0
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,1.0
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,1.0
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,0.2601095082376634
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,0.0
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,0.0
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,0.0
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,7.1446000000000005,1.0
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,4.294633333333333,0.40713005842908445
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.442399999999999,1.0
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4027800000000004,0.9110141761505449
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.4808,0.7667040206795783
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.396033333333334,0.18756469102552717
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.3940119047619053,1.0
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.15740000000001,0.0
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.221985000000002,1.0
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.3940333333333315,1.0
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5545,0.0
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.984400000000001,1.0
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.4746378095238115,0.0
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.201399999999985,0.0
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.499555555555556,0.0
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.588950000000001,0.19971894315789882
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.7872,1.0
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.102236229946523,1.0
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.003000000000001,0.733782736097023
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.583799999999999,0.0
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.047,0.0
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.159316129032256,0.0
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.0642,0.0
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.8812595238095235,0.0
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,3.022600000000001,0.0
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.844864502164504,0.24441437302750502
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.7324,0.1197220938099019
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.8534000000000015,0.0
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,4.314040000000001,0.0
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.448599999999999,0.030441208406133
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.380978033794163,1.0
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,13.0176,0.8761902782292889
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.116066666666665,0.34429645935312525
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.1407729004328995,0.0
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,0.6903999999999998,0.0
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.9014926829268294,0.5617985906651696
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.22118470046083,1.0
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,6.427741666666668,0.5402816734121141
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,2.595,0.0
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,3.5366000000000004,0.2875294407541159
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,2.033783333333333,0.0
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.9688,1.0
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.496999999999998,0.023630721212668796
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,5.4688,1.0
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.640599999999999,1.0
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.7353999999999998,0.0
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,1.2277624999999996,0.0
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.105349999999999,0.11558307800551582
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.895843001443001,1.0
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.004846016260164,0.0
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.356210000000002,1.0
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.8294,0.0
