Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,1.0
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,1.0
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,0.0
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,1.0
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,1.0
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,1.0
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,1.0
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,0.6473003344403215
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,0.8605081931000953
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,1.0
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,0.5877611708367922
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,0.3257580360542201
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,0.0
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,0.46338943878033706
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,0.48161223009899523
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,1.0
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,0.0
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,1.0
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,1.0
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,0.6054466025186884
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,1.0
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,1.0
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,1.0
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,4.326302776953283,0.0
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.915408184303053,0.0
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.26617205176624,1.0
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.5012096898038978,0.0
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,3.187736076057542,1.0
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,15.95534949012989,0.0
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,2.5950247728988423,1.0
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.860113819499721,1.0
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.678942039512585,0.8548744243523875
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.632984581773345,1.0
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.229038125194427,0.09540048149926374
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.7174615928815098,0.0
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,8.181771330066894,0.378353306510033
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,2.171504608586565,1.0
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.610727940818956,1.0
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.634563449653523,1.0
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,13.281795283107614,0.5955321480857243
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.695313777632231,0.0
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,2.874950649332488,1.0
