Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,0.005132283307543508
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,0.15383878100838752
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,1.0
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,0.0
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,0.0
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,0.3799768791505354
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,0.015437695120874432
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,0.0
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,1.0
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,0.09898739509220386
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,1.0
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,0.0
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,1.0
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,1.0
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,1.0
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,0.8727392212383723
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,1.0
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,0.2686833982603585
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,0.2895299029809656
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,1.0
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,0.06032856339861468
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,0.0
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,0.04659966913848103
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,0.6924529651468619
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,1.0
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,0.0
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,1.0
