Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,0.5662669683332148
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,0.5421151773216151
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,0.6655303020788403
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,0.5359758500613239
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,0.571047080812401
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,0.5385920616673116
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,0.5045961611746623
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,0.5293454997370465
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,0.5695651486038428
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,0.6174552621009026
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,0.5633508988028084
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,0.505530324548239
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,0.6160817428516636
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,0.5770608871660673
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,0.9894134776963156
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,0.5724959020214268
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,0.8254409653133488
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,0.6737544557594908
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,0.5345040697120091
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,0.5859114627162738
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,0.59193873027248
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,0.6635242821203219
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,0.533654314315164
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,0.5896160576119439
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,0.6075887244987177
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,0.5219847175238601
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,0.5525537437884215
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,1.4351907104062152,0.5633598748295484
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,14.138288345225256,0.8631510160828038
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.933050484615254,0.5082618691070936
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.367838177057594,0.5354807204544132
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.84258320058858,0.8057430613756336
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9246365613816354,0.5879175917497995
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.4504359243435616,0.6107428738675178
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.6203320967335542,0.5199064481198122
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.521348171988051,0.5692156706723221
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.97079559103612,0.5073005833609027
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.6804807265512949,0.5323346292252639
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.012803233331256,0.5167928732567206
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,9.888613371467883,0.8039845592365772
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.921103880117943,0.882995104448313
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.5750398604179265,0.5287084247102312
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.0059566760392005,0.5463556648022381
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0006622629808577,0.5742806131454452
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.3318166210248894,0.8127811115434147
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,8.893150869589022,0.994604871515938
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,3.603275108831726,0.5874115583300653
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.420657321214694,0.654902033846459
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4816962713798936,0.5518884458092217
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.042769677280296,0.9111072736092907
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.246386896980564,0.5015967188173049
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.290379651153454,0.527566929611721
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.375877894250557,0.5685353464331894
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.080869849037367,0.5097812897054418
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.4763023135945503,0.5059241443637063
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5908215811172093,0.5475611628952797
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.7197259631546788,0.5743755248608947
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.522863734667698,0.580022007250702
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.022585516348844,0.8302520280205916
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.552185044872999,0.6016116957092208
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.621542276909198,0.5021144181684787
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,11.89799046952861,0.6895444590540237
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.213989673427312,0.5977287219073201
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.0715829240028105,0.618121589488752
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.02335449464745,0.5954749128606088
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,5.85563482568255,0.5852504847407177
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.3151454720650655,0.5312455995320624
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,18.33211964806758,0.9759228351934205
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.745057368190149,0.5311950871786952
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.6748308071078823,0.5878705309376112
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.622819059970444,0.6334813005733105
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.967783999842287,0.5517599094746817
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.911632648711902,0.5625783105010295
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.589711074833444,0.7330766885522116
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.6468739842978344,0.5736781590406967
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.697707722345844,0.5750027872854019
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,12.779600919552449,0.9734133365019425
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,3.540490033512972,0.712899876272847
