Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,0.5586290552183012
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,0.5068523487296095
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,0.6604026085637245
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,0.5472124991576915
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,0.5715064294675558
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,0.5070828595094883
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,0.5022511102161199
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,0.7166287401134117
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,0.5148955909674856
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,0.5161310318349652
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,0.5193253681086911
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,0.5776367207097968
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,0.5297149421653963
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,0.5131969342306848
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,0.9822245210804795
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,0.5058997261765841
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,0.6498610673662906
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,0.6156474589441547
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,0.507349470625257
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,0.5402502156179789
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,0.5360871425818117
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.764516003012769
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,0.5170908147979506
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,0.6052207851403232
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,0.6059691806921264
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,0.5471098491739842
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,0.5131239734487337
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,0.6113522736236858
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,0.998482541845441
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,0.5106317305734581
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,0.5392028376369772
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,0.5732197726798349
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,0.5899827504992615
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,0.5512417574307795
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,0.5284193363752978
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,0.6344139553429897
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,0.5000499999998336
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,0.5266247920719594
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,0.5014999955000176
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,0.9144482952241406
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,0.8862302375422849
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,0.573723652561738
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,0.5320725691646898
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,0.5586783671666907
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,0.7803316306830437
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,7.1446000000000005,0.9990569050017909
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,4.294633333333333,0.7397430210046103
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.442399999999999,0.6597993089126754
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4027800000000004,0.5713154070951401
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.4808,0.8686642881624871
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.396033333333334,0.5389293828329846
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.3940119047619053,0.5532996992607088
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.15740000000001,0.5143460613138662
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.221985000000002,0.5254741742129261
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.3940333333333315,0.5264669050386049
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5545,0.5385483505916685
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.984400000000001,0.6374700028632068
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.4746378095238115,0.5682311242289259
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.201399999999985,0.8035450329710314
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.499555555555556,0.5889328423354958
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.588950000000001,0.5102610591291001
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.7872,0.843855577629579
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.102236229946523,0.6242821038353533
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.003000000000001,0.6018070039467837
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.583799999999999,0.5433409568837607
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.047,0.5381755580687619
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.159316129032256,0.507670365947291
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.0642,0.9193983227326988
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.8812595238095235,0.5028148512142733
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,3.022600000000001,0.5018499915578792
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.844864502164504,0.5805752999364202
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.7324,0.5068995620213633
