Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,0.9565897618101418
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,0.5451806606479169
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,0.556364914233479
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,0.5349290283627619
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,0.5904440341146767
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,0.5154084852320018
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,0.5041809809668365
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,0.6016107993248532
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,0.5155354164133379
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,0.9070087002014924
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,0.5082464447478536
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,0.5034165734771613
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,0.5000002989076171
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,0.5074227588858476
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,0.9999999874192104
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,0.5243915456845745
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,0.5021385685785494
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,0.7946767738998413
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,0.515964499887653
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,0.5187335177565281
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,0.8773944938030308
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,0.9139099846735876
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,0.5730654418167828
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,4.326302776953283,0.5039880132948188
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.915408184303053,0.523301648380375
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.26617205176624,0.5127856613399547
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.5012096898038978,0.5005951233112232
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,3.187736076057542,0.9040635231151789
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,15.95534949012989,0.5001519119045398
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,2.5950247728988423,0.946500995731637
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.860113819499721,0.530606607234072
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.678942039512585,0.8299023075785186
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.632984581773345,0.6031551234788205
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.229038125194427,0.5131116090268805
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.7174615928815098,0.5000762268058994
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,8.181771330066894,0.5363729710347342
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,2.171504608586565,0.5073529275694483
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.610727940818956,0.509926034118858
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.634563449653523,0.5762848410656041
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,13.281795283107614,0.9806877129262255
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.695313777632231,0.9616962761690959
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,2.874950649332488,0.6602268825239402
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.137840257309421,0.5252341502820438
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,3.7919226721599433,0.9025454786853965
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.52763023048243,0.8346467973997067
