Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,0.1558782392675975
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,0.3163625229038159
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,0.3589226571817297
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,0.30258794718799337
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,0.2961030181369265
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,0.3356311709988352
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,0.32175155257405796
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,0.20250490933590615
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,0.360769975613415
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,0.22405854784407123
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,0.36141744342177223
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,0.2909407422556688
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,0.4299682609867637
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,0.378299864408494
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,0.4250310416564161
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,0.3590382608250361
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,0.6155880736056231
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,0.3007152813890821
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,0.33132335673086577
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,0.3623415039097901
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,0.21738669135960992
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,0.1998132770741563
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,0.29077046527810396
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,0.35004681710009505
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,0.3484600509761137
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,0.3072706733242251
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,0.3698631907763018
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,1.4351907104062152,0.17590344426391266
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,14.138288345225256,0.009480008595285404
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.933050484615254,0.13737712139726094
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.367838177057594,0.30804881409247625
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.84258320058858,0.46022260466963394
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9246365613816354,0.29875679675027195
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.4504359243435616,0.38695188960601495
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.6203320967335542,0.3362010972926978
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.521348171988051,0.29223269409768315
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.97079559103612,0.3200681222658969
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.6804807265512949,0.3279135290444762
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.012803233331256,0.2802170984608376
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,9.888613371467883,0.18604714463530353
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.921103880117943,0.3533457345082192
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.5750398604179265,0.2373230139614717
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.0059566760392005,0.3241378868604067
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0006622629808577,0.19105744927467516
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.3318166210248894,0.37872780935428824
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,8.893150869589022,0.14209927976441605
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,3.603275108831726,0.11820155940437661
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.420657321214694,0.3669206389278594
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4816962713798936,0.31519879238301607
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.042769677280296,0.5560909329641127
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.246386896980564,0.2281979460655964
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.290379651153454,0.33094116082006914
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.375877894250557,0.2327298091870851
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.080869849037367,0.3276125462980819
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.4763023135945503,0.32159235516402135
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5908215811172093,0.25945370973457554
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.7197259631546788,0.3164419052397431
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.522863734667698,0.32079483612815046
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.022585516348844,0.34427246370505843
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.552185044872999,0.212354693278683
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.621542276909198,0.31148859545536506
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,11.89799046952861,0.20479066350587885
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.213989673427312,0.3568091285631924
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.0715829240028105,0.3694665717704039
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.02335449464745,0.35564899281290097
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,5.85563482568255,0.35199017149274525
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.3151454720650655,0.3152726918962997
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,18.33211964806758,0.5617049017271406
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.745057368190149,0.3423576950573023
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.6748308071078823,0.3891154180959209
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.622819059970444,0.3927342776688315
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.967783999842287,0.3773561394707521
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.911632648711902,0.290926784676314
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.589711074833444,0.45394151339988675
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.6468739842978344,0.3794777635686032
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.697707722345844,0.2931268107003636
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,12.779600919552449,0.5169363921130277
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,3.540490033512972,0.5055415223809451
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.346542862325756,0.35143189571312594
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,0.615046374166958,0.20339803428097658
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.6131617922966921,0.24969571376517982
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.35542476500388,0.31929034734504164
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,5.292761706885655,0.7111819407908357
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,2.7815732339814767,0.2338547027936711
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,3.281101289023541,0.21173751562439544
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.7170214359465013,0.3743948086592448
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.7331934338967157,0.3154677769175607
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.488360932920253,0.2898521093748835
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.002741643451781,0.3047182058144949
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.6657940208132525,0.3383773916998204
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.49761661436321,0.24736853852844914
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.9062807894616794,0.2597443715032163
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.412553845608256,0.30930939921891876
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.49058679010149,0.3537553899554693
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.2031583554405074,0.31310954286321924
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.59159299121863,0.30022890547422826
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,11.97217130148424,0.598354844625968
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,1.5629259862527762,0.25871396204011227
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,0.4451572127439941,0.18792193075697916
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.4312847604073016,0.3503686486827622
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7216904329273333,0.34480190577385444
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,6.345667400356435,0.26498988961060327
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,1.9185021031493157,0.35217389434830954
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,0.7227577353263105,0.13479558714809273
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,4.043581840419068,0.3723098099332617
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,7.319672038283575,0.35701492746705993
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.4774586735105761,0.3260681677968779
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,5.089087585832292,0.31970041767614427
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.037293491498505,0.2807124444117357
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9037081628209178,0.33906097933628604
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,9.410374773341855,0.25644576150067244
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,0.2233933598736404,0.3203874846416699
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.442805951823788,0.2726589054769033
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,4.739361438866661,0.8782523031216483
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.08807907816701,0.3139311397180878
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.438839201455412,0.3806321304442311
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,4.522473764747861,0.41066455698659565
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.7050372182543274,0.23522749409826135
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.721025750059136,0.36692572048457794
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.076999284184676,0.28059293767358784
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.01925353085324,0.5706879953836848
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.509564671523916,0.3291449537077766
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.9300039179342687,0.35590385940288244
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.826026049445373,0.2857712028921095
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.2427389737008765,0.3337448034138348
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,4.871376912744123,0.31761129502132807
