Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,-0.7288280696724206
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,-1.091312814859881
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,0.5829902925021905
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,-0.46725210136007894
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,-0.7008371728453486
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,-1.2807527947701223
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,-0.7912057605927648
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,1.088836998082529
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,-1.4024377847195428
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,-1.0201272987463952
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,-1.289795791949808
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,1.340156917218306
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,-0.3924090048872077
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,-1.193786235277816
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,-1.2094587307277869
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,-1.4113693106784895
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,-0.22577559292463859
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,-1.1032973524631
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,-1.2142458661772184
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,-1.3012315652621396
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,-0.9045350747870612
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.13186898953492504
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,-0.8596138553090089
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,0.9429885245748515
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,0.6503483339057027
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,0.36445064930886234
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,-0.6823775527354619
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,-0.5175329648502242
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,1.3606901866125667
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,-0.7010289723648322
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,-0.6265807798892314
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,-1.4014040323906964
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,-0.6753995914736515
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,-0.810318835715258
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,1.0904501997608103
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,1.3111968419217712
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,-0.891929927256589
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,-0.9776636636428604
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,-0.828098614007987
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,1.139829151035033
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,0.8408276614158986
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,-0.3775235150924669
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,-1.0380051973560878
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,-0.7613811156766919
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,-0.732473161866295
