Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,1.4139888219015149
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,1.3246154917803012
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,-1.40733193500479
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,1.3895917099151842
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,1.4141950868533824
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,1.1597550733204434
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,1.410735917540082
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,0.23713475807239542
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,0.5434970010662479
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,1.3583001852311427
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,0.1425831427559432
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,-0.2789460284477756
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,-0.9804481139485808
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,-0.05973144658780048
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,-0.030020336486960456
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,0.7833216417322888
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,-1.0961486116866024
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,1.3178413504564708
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,1.234980586027277
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,0.17093118815874206
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,1.3937356589249899
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,1.1534743485657644
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,1.4023284003329162
