Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,-0.7125573200895335
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,-0.8748096085831283
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,0.5610255177467363
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,-0.5598067402644766
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,-0.703072947460187
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,-1.1160788971540714
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,-0.723542631650679
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,1.2482376915882902
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,-1.3836793499066022
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,-0.8142608493464217
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,-1.189329924011727
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,1.4032088767519353
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,-0.6367487344236201
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,-1.0203819473433815
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,-1.196293751772547
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,-1.404518360347249
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,-0.5227930771604218
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,-1.0007908513145674
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,-1.0231157671721232
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,-1.2393161098484837
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,-0.771965727897727
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,-0.021448631212328043
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,-0.7570663083774742
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,1.0421840730726617
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,0.6403743418271987
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,0.23273758792368432
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,-0.6975639608196735
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,-0.6354735007938037
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,1.4104938530205282
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,-0.7068420298019913
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,-0.6591443048701316
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,-1.3808099771052242
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,-0.6844942132407251
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,-0.7751010149148623
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,1.2424609648373595
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,1.3519450907176027
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,-0.738073657866877
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,-0.9158011398563288
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,-0.7226123827470026
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,1.1956215441315292
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,0.8488045717919819
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.3929399999999994,-0.574197110049653
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,1.9484666666666663,-0.9410883838116384
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0642,-0.723787877328209
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.5324,-0.7306483161412395
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,7.1446000000000005,1.3287099367879447
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,4.294633333333333,-0.4114079142679993
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.442399999999999,0.7931360982301858
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4027800000000004,0.5893996985142897
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.4808,0.23472835854356444
