Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.373363567919643,0.04442802479684788
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.011139190472685,0.3187151313402158
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.828037883308816,0.3635589936149108
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.005847493953455,0.3182922057773214
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.086124492096486,0.30035237039226187
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.4646758909670747,0.3316097355412188
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7183851625516493,0.33153592336366017
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,13.782482942486585,0.20738106487065977
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,1.759922807514566,0.34344258691787466
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.8787610075836825,0.10466572904557132
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.184772799617627,0.3434822497121752
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.842122200350664,0.3209543327894316
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.9329499962465235,0.3830620082557676
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.6107195572307624,0.3513907619920387
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.562469390524704,0.9073767549068426
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5379582968840618,0.34115825175017606
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,2.553654754859492,0.8187375422878582
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.005215434530212,0.24843104626748097
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.6617640095203994,0.3302827919898561
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.0529111184869135,0.3489910107357869
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.428014200663869,0.1231430555536681
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.570960535529094,0.09786921062398783
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.315178896023357,0.30259999999276055
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.837621591096394,0.33971841813256265
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.172812248882911,0.34471999634904216
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.127995606992074,0.3254425005028619
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.3390057301650515,0.34271975532536436
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,1.4351907104062152,0.09106016556798335
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,14.138288345225256,1.5313225292528675e-17
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.933050484615254,0.05083021312326781
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.367838177057594,0.3213074308240671
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.84258320058858,0.5589774294800068
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9246365613816354,0.29888926363740376
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.4504359243435616,0.36873423845226677
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.6203320967335542,0.3332665172697789
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.521348171988051,0.300817960911264
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.97079559103612,0.33023788008379734
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.6804807265512949,0.3313669955374563
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.012803233331256,0.2985538753443629
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,9.888613371467883,0.022072113540059217
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.921103880117943,0.3905832056002391
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,3.5750398604179265,0.2502787877509274
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.0059566760392005,0.3277844074003047
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,2.0006622629808577,0.0958402761148588
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.3318166210248894,0.462453218676392
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,8.893150869589022,5.610100416053763e-10
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,3.603275108831726,0.01587852705049514
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.420657321214694,0.36366166076803574
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.4816962713798936,0.32420838618826886
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,11.042769677280296,0.859725157579458
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,1.246386896980564,0.25420021067631526
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.290379651153454,0.3308597684085763
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,21.375877894250557,0.1741149479500525
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.080869849037367,0.33243751188492726
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.4763023135945503,0.3319621159323243
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,1.5908215811172093,0.25644618005705827
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.7197259631546788,0.313417186014492
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.522863734667698,0.3225106528316836
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,20.022585516348844,0.35405047141989526
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,6.552185044872999,0.11854593537701995
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.621542276909198,0.32987593418917793
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,11.89799046952861,0.08202690565349104
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.213989673427312,0.3376813959565002
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,4.0715829240028105,0.3604525588109348
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.02335449464745,0.34599034773640375
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,5.85563482568255,0.34248283386656114
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.3151454720650655,0.3221302720680737
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,18.33211964806758,0.990261409557437
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,1.745057368190149,0.3341752236186779
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.6748308071078823,0.3568589683942415
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,3.622819059970444,0.3825130365673316
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.967783999842287,0.34290870347867775
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,3.911632648711902,0.29306812506202246
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.589711074833444,0.509484287321185
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.6468739842978344,0.3511152218835388
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.697707722345844,0.2972959607213198
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,12.779600919552449,0.8398260300121125
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,3.540490033512972,0.5190600185335176
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.346542862325756,0.33713395369409943
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,0.615046374166958,0.162246228262319
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.6131617922966921,0.29290988452289174
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.35542476500388,0.3222268113944894
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,5.292761706885655,0.999992519435393
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,2.7815732339814767,0.19001980451460648
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,3.281101289023541,0.1507670989089781
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.7170214359465013,0.3546411761543292
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.7331934338967157,0.32936217569263065
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.488360932920253,0.30519419698807354
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.002741643451781,0.0975504043941835
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.6657940208132525,0.3351075231564011
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,1.49761661436321,0.19132643629854412
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.9062807894616794,0.24036686116939246
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.412553845608256,0.3223585546516539
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.49058679010149,0.33742453267301287
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.2031583554405074,0.3230742874535757
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.59159299121863,0.31480692484289696
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,11.97217130148424,0.6906494372798115
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,1.5629259862527762,0.26162683826028416
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,0.4451572127439941,0.0629118328683875
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.4312847604073016,0.3401454591106173
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7216904329273333,0.33635449524768
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,6.345667400356435,0.2987018679948955
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,1.9185021031493157,0.333680483497108
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,0.7227577353263105,0.04186236381756835
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,4.043581840419068,0.3494014336108061
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,7.319672038283575,0.34976463580083456
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.4774586735105761,0.33095191068765545
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,5.089087585832292,0.32301404808478196
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.037293491498505,0.22029934394492295
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9037081628209178,0.33655378098118377
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,9.410374773341855,0.1825345724464171
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,0.2233933598736404,0.3151355339200007
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.442805951823788,0.2558627876643171
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,4.739361438866661,0.9999948959019638
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.08807907816701,0.3147139407657447
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.438839201455412,0.40591998422226383
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,4.522473764747861,0.40423956172854464
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.7050372182543274,0.2619473005721491
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.721025750059136,0.3495327556029503
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.076999284184676,0.3170996129101553
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.01925353085324,0.9166861492922413
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.509564671523916,0.3324414634279612
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.9300039179342687,0.3400289272009142
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.826026049445373,0.3028784538476446
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.2427389737008765,0.33112422803238417
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,4.871376912744123,0.3249775616696429
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,6.315130544106404,0.19700016524731764
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,0.7328177652931712,0.1191115409930949
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,1.675880782699964,0.3203494075908182
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,3.3317298854376984,0.31812220912325806
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,4.26493087384902,0.00010599232354601734
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,2.0816705483528133,0.4155592904449784
9.7,6.0,33.0,2.0,2.3,47.1,3.0,True,False,False,2.3361654772025267,0.317746698199082
51.5,4.9,28.4,6.34,9.6,22.3,1.5,False,True,False,5.172323127756506,0.3361010061366542
8.0,6.8,72.8,10.08,34.0,46.2,3.0,False,False,True,10.737132871831353,0.20666110817788144
17.8,7.2,25.8,1.0,9.5,36.0,1.5,True,False,False,0.3482038522020982,0.33054278243576146
4.89,7.5,54.4,7.41,5.7,70.4,3.0,False,False,True,4.988840207558355,0.4725066550925465
12.7,4.2,34.5,2.24,26.6,71.2,3.0,False,True,False,5.45600560226605,0.5243066366786676
112.0,3.8,7.0,5.4,3.5,4.5,3.0,False,False,True,4.125244198608837,0.1645624090749464
112.0,3.8,7.0,10.6,3.5,4.5,1.5,False,False,True,8.234671638913627,0.2721096316924761
12.15,7.0,28.6,9.11,1.1,52.5,3.0,False,False,True,8.934776758600718,0.3121311402288216
28.2,6.8,24.8,1.0,15.8,52.1,1.5,False,True,False,0.5234545024099005,0.32474531609075497
206.43,4.04,5.62,8.35,13.36,3.85,1.5,False,True,False,4.783605742224811,0.04333812054339746
19.64,4.56,28.36,5.7,3.72,34.28,2.87,False,True,False,2.483418060968317,0.34896303691867747
13.2,5.3,33.1,17.4,6.9,40.3,1.5,False,False,True,6.635578357197463,0.28673724252480093
57.0,7.3,17.8,2.43,11.7,15.8,3.0,True,False,False,1.0484924345666244,0.33664080022960907
35.07,6.35,17.04,5.9,14.29,14.15,2.89,False,False,True,2.946280039238282,0.2731592696100273
137.0,4.7,34.8,10.12,14.9,45.8,3.0,True,False,False,9.614222164155729,0.3363781544314242
51.5,4.9,28.4,11.6,9.6,22.3,3.0,True,False,False,6.924858424279188,0.4633818227296041
51.52,4.92,28.19,7.5,9.74,22.42,1.52,False,False,True,5.883904188133942,0.3456509418165391
21.22,4.32,34.21,16.7,3.91,63.6,1.48,False,False,True,5.83824538303467,0.28778989124155524
177.9,4.8,29.1,12.0,18.2,46.1,1.5,False,True,False,4.143347119153665,0.3136718771220113
17.7,7.6,25.7,2.59,2.6,46.1,1.5,True,False,False,0.9312654486603,0.3012110252558073
14.94,6.79,7.54,4.1,23.22,31.07,3.07,True,False,False,2.713435601139937,0.3319064549183777
3.3,7.6,37.0,8.57,8.7,70.1,1.5,False,True,False,4.152503772270498,0.18880741726591524
6.13,6.45,41.16,5.59,32.59,45.11,3.0,False,True,False,5.635241116053545,0.001387784858445985
12.15,7.0,28.6,9.6,1.1,52.5,1.5,True,False,False,8.624569007064272,0.27408570446051184
