Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,14.398601521728196,0.9118311083867735
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,2.7543041655986684,0.37129640132751607
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.615838264465866,0.2839980869844422
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,4.5240909778550105,0.3585736081894432
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,0.1951849115231999,0.3989716731016235
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.5583011538634466,0.34435999727812544
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.829322518054819,0.3370133248999938
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,14.542013477176267,0.30887264506995854
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.2893224305254227,0.3378960814479093
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,2.909187232960038,0.8117608205378897
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,3.748371889951893,0.3326912978312299
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,3.70309616509141,0.3252115723666529
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.461093448886837,0.30628510204342363
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.1276828011243636,0.32866712486240757
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,12.834898031185318,0.08247279835910956
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.5175200980651298,0.3453995226753746
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,0.9075103979981732,0.07388241186359136
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,3.4433357246101552,0.5682593456094553
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,2.052744363104461,0.34540573065522434
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.126195025232281,0.33346724252036214
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,14.202848808229664,0.7673615533502458
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,17.786990124518276,0.6551577526689901
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.992557994447236,0.3988575152959605
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,4.326302776953283,0.3027027717499994
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.915408184303053,0.3125840872024337
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.26617205176624,0.3398812753335495
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.5012096898038978,0.3285782408947902
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,3.187736076057542,0.8041662509531875
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,15.95534949012989,5.155209591377888e-19
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,2.5950247728988423,0.8983031281430913
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.860113819499721,0.3559421066745631
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,2.678942039512585,0.36043123587361736
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.632984581773345,0.4003819341752276
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.229038125194427,0.317234771673597
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.7174615928815098,0.3312589694259115
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,8.181771330066894,0.3220181170126235
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,2.171504608586565,0.33980576561843256
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.610727940818956,0.3390544182785584
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.634563449653523,0.4042266023824623
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,13.281795283107614,0.1529047700944354
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.695313777632231,0.164997725182259
31.9,7.1,12.4,9.97,33.5,12.8,1.5,True,False,False,2.874950649332488,0.4799419014247599
57.01,7.29,17.89,3.9,11.89,15.59,1.48,False,False,True,2.137840257309421,0.35030305160258246
430.89,6.08,12.42,17.5,40.55,7.25,1.55,False,True,False,3.7919226721599433,0.8115233774668186
99.46,5.14,14.53,2.71,30.96,5.68,1.5,False,True,False,1.52763023048243,0.27040147502071976
15.65,7.07,49.96,15.45,6.57,64.34,3.0,False,True,False,10.1273636584127,6.5756370537967625e-15
51.68,7.25,23.77,10.54,14.12,19.1,3.0,False,True,False,5.301401322281108,0.942383005052684
11.46,7.32,28.27,7.8,16.53,20.2,3.11,False,True,False,2.068833749808024,0.26222608822305027
35.21,6.2,17.04,4.0,14.55,14.0,1.33,False,False,True,2.9849283645981664,0.3386539444567229
4.08,6.8,24.6,7.07,2.5,62.6,3.0,False,False,True,12.920343067081795,0.004677684096593385
114.0,4.5,13.0,13.06,34.7,5.6,3.0,False,False,True,2.0442259547187995,0.4853453897641863
19.7,4.6,28.4,5.45,3.9,34.2,1.5,False,True,False,2.1988044557300075,0.3269687384893315
2.78,9.4,24.7,12.1,6.1,6.2,1.5,False,False,True,22.28939956499528,0.6639975197667112
13.2,5.3,33.1,5.86,6.9,40.3,1.5,True,False,False,4.093434562867648,0.33216321580653135
2.63,7.4,14.8,5.8,18.7,26.7,1.5,True,False,False,3.45280178844245,0.33251565596661153
114.0,4.5,13.0,17.2,34.7,5.6,1.5,True,False,False,2.227357110485849,0.4903040607058804
5.16,7.27,36.72,2.74,8.18,69.43,1.5,False,True,False,1.5655620828183974,0.29262380225545637
28.2,6.8,24.8,5.5,15.8,52.1,1.5,False,True,False,2.6750170090724312,0.36413924491834393
2.78,9.4,24.7,10.28,6.1,6.2,3.0,True,False,False,19.956409196824765,0.4387445175299197
13.15,7.0,28.8,9.7,4.9,35.8,1.5,False,True,False,4.712449879571528,0.767626556931857
45.2,6.16,24.85,7.94,6.16,24.97,1.5,False,True,False,4.801648436970299,0.3397154242372105
12.65,4.14,34.63,7.9,26.63,71.36,2.87,True,False,False,12.269436497280376,0.1703474615955462
13.2,5.3,33.1,8.95,6.9,40.3,1.5,False,False,True,5.593229060003878,0.28874961286403006
59.99,4.6,30.88,3.9,4.34,51.65,3.05,True,False,False,3.8139628020117566,0.3005450242161058
137.0,4.7,34.8,5.22,14.9,45.8,3.0,False,True,False,5.800119552073302,0.3469252698371483
137.0,4.7,34.8,6.02,14.9,45.8,3.0,True,False,False,6.559408903713223,0.3461280949400622
66.7,5.6,22.2,11.97,7.0,17.7,1.5,True,False,False,6.54783900662899,0.360446449586282
12.78,4.11,34.48,12.0,26.73,71.23,2.98,True,False,False,17.63672550395528,0.009324798212249468
10.0,8.8,31.2,4.83,7.2,31.2,3.0,False,True,False,2.022928245368127,0.3367840298761156
2.48,7.38,14.8,3.9,18.55,26.54,3.03,False,False,True,2.8213956714190886,0.3285573051252086
74.09,6.18,19.89,11.64,18.24,21.04,1.5,False,True,False,4.423308962761064,0.3023306193751264
12.15,7.0,28.6,4.7,1.1,52.5,3.0,True,False,False,4.756905903852031,0.32842208445452
177.86,4.76,29.24,7.9,18.08,46.07,1.39,False,True,False,4.312996358871889,0.42136116732145257
74.6,6.6,13.0,7.9,27.8,6.6,3.0,False,True,False,3.920610692109374,0.29128003736339236
110.0,5.3,32.0,6.41,15.5,53.1,3.0,False,False,True,1.4423747976400652,0.3242495313170592
66.7,5.6,22.2,12.0,7.0,17.7,3.0,False,True,False,6.659582511023203,0.3046707206664541
4.08,6.8,24.6,7.85,2.5,62.6,3.0,False,True,False,14.701898111111545,3.292072679721531e-05
177.9,4.8,29.1,8.22,18.2,46.1,3.0,True,False,False,4.481709867091704,0.22719681213622508
49.0,6.7,23.4,8.0,14.7,35.1,3.0,False,True,False,3.2730188656294668,0.3317352743119271
431.0,5.9,12.2,4.42,40.6,7.2,3.0,False,True,False,1.9199102037233784,0.677144263330975
28.2,6.8,24.8,1.0,15.8,52.1,3.0,False,False,True,0.07360998780202,0.3863633363138655
66.7,5.6,22.2,10.95,7.0,17.7,3.0,False,False,True,6.992784257893573,0.3198143239098394
7.56,5.46,32.2,7.09,17.85,53.71,1.5,True,False,False,7.761621210932498,1.9042887055753102e-10
205.0,4.7,2.8,10.12,38.1,0.6,3.0,True,False,False,3.676175122666345,0.6288422984991553
10.0,8.8,31.2,10.28,7.2,31.2,3.0,False,False,True,4.1697014626487245,0.6536943363101105
111.94,4.5,13.65,4.2,16.0,17.62,1.49,True,False,False,1.776269429606213,0.3396957787606681
3.3,7.6,37.0,1.1,8.7,70.1,3.0,True,False,False,0.6725503092897034,0.333265106760817
21.2,4.4,34.3,8.59,3.7,63.6,3.0,False,False,True,4.853947196750127,0.3888054305914492
2.9,9.5,21.7,5.9,34.5,9.4,3.0,True,False,False,6.5542530774941845,0.01821266092265033
59.8,4.5,30.8,5.9,4.4,51.7,1.5,False,False,True,5.738616239355347,0.32559156327851013
386.0,4.5,3.0,7.7,32.1,2.6,1.5,False,True,False,2.975168691692419,0.6358188382001992
29.06,7.47,22.52,1.0,3.69,36.24,3.02,False,True,False,0.220287163952615,0.530284351989258
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.6037250340991056,0.3530872696863719
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.688596916758687,0.3242705566677801
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.4187863852911877,0.3569124534371006
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.528244019921519,0.3232986170181123
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,10.551057823133046,0.1568179217679728
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,2.1929319336013227,0.4777632808065393
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,2.5248794503629544,0.8827638804472128
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.0432330593519596,0.3278956922244345
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7681623783002367,0.33215820741611785
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,5.778173018873121,0.3913740943913314
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,2.0854126475252173,0.40658448981001155
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,2.3983988117966084,0.9155314566471081
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,3.4675426096905597,0.335375576336836
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,8.873741687406513,0.4171781246483438
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.5474380547953661,0.33856264845996475
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,4.897802829829597,0.3632075129842283
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.580962238519495,0.5984778201453896
