Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,5.64,6.1,6.2,3.0,False,False,True,12.875600000000002,0.04374086681637858
23.7,6.2,31.2,4.26,10.8,30.9,3.0,False,True,False,3.152588888888888,0.3099884673322682
5.0,7.48,54.48,4.2,5.65,70.36,1.44,True,False,False,3.805088888888888,0.35244291940064704
177.9,4.8,29.1,11.6,18.2,46.1,1.5,False,True,False,3.960585714285716,0.3231341860332354
28.9,7.5,22.4,1.0,3.8,36.3,1.5,False,False,True,1.0879999999999996,0.30067595650611467
112.0,4.5,13.8,3.09,16.0,17.6,3.0,True,False,False,1.338333333333334,0.3240302671806558
17.8,7.2,25.8,5.7,9.5,36.0,1.5,False,False,True,1.7090045017051911,0.331450751736346
7.12,4.2,57.8,5.4,22.4,29.8,1.5,True,False,False,12.972200000000004,0.4837462900593818
20.6,7.3,18.0,8.76,10.9,26.0,3.0,False,False,True,2.0996,0.3186613316342162
74.6,6.6,13.0,4.0,27.8,6.6,1.5,False,True,False,1.4645465277777785,0.08357345041653902
31.87,7.07,12.4,12.2,33.34,12.59,1.45,True,False,False,4.007340000000002,0.32382645245659486
28.2,6.8,24.8,8.57,15.8,52.1,3.0,False,False,True,4.133079365079365,0.3538340948439155
57.06,7.25,17.68,3.8,11.58,15.94,2.92,False,False,True,1.5790000000000006,0.3106528897008088
17.7,7.6,25.7,4.1,2.6,46.1,1.5,False,True,False,1.352800000000001,0.3199421131455537
0.55,2.99,55.45,9.8,69.05,65.12,1.61,True,False,False,13.088,0.010150446734047903
21.2,4.4,34.3,1.18,3.7,63.6,3.0,True,False,False,0.8064000000000003,0.31344222557444934
17.7,7.6,25.7,3.23,2.6,46.1,3.0,False,False,True,1.6184285714285709,0.10738004584855042
17.7,7.6,25.7,11.39,2.6,46.1,1.5,False,True,False,2.7511142857142845,0.1833096081230636
110.0,5.3,32.0,9.58,15.5,53.1,1.5,False,False,True,1.7706,0.32431147735491955
28.2,6.8,24.8,16.9,15.8,52.1,1.5,False,True,False,5.238650000000002,0.31754174674385094
8.0,6.8,72.8,11.7,34.0,46.2,3.0,True,False,False,12.655399999999997,0.10949539109608604
12.51,4.28,34.35,12.1,26.55,71.12,1.69,False,False,True,15.072400000000004,0.24697303670702211
62.7,5.7,22.69,11.25,6.84,19.05,3.0,True,False,False,6.381610097286226,0.29854248471127903
82.9,4.4,22.2,4.6,12.0,26.5,1.5,False,False,True,3.7727333333333353,0.357578810117438
205.0,4.7,2.8,16.88,38.1,0.6,1.5,False,True,False,4.179600000000002,0.3426959164485242
1.3,7.0,29.4,10.01,7.2,32.4,3.0,True,False,False,5.228999999999998,0.33467622416358855
20.6,7.3,18.0,7.29,10.9,26.0,3.0,False,True,False,1.6025079545454537,0.3287020037798455
368.38,5.67,15.58,14.98,34.96,15.82,3.0,False,True,False,2.1430000000000007,0.10477358347882908
11.4,4.52,33.92,10.76,24.39,66.77,3.0,False,True,False,9.490799999999997,1.0
431.0,5.9,12.2,8.1,40.6,7.2,3.0,True,False,False,0.9425333333333328,0.050866658733640935
66.7,5.6,22.2,8.3,7.0,17.7,3.0,True,False,False,5.35286612903226,0.32275046250136985
29.66,7.35,46.26,7.7,20.82,18.76,3.28,False,False,True,1.7150000000000003,0.08059133464637576
11.35,7.26,28.34,7.5,16.63,20.24,1.57,False,False,True,2.9161059307359314,0.30072880218736864
20.6,7.3,18.0,6.2,10.9,26.0,1.5,True,False,False,1.2056891666666676,0.31403098987413613
19.7,4.6,28.4,1.1,3.9,34.2,1.5,True,False,False,0.8138,0.33547451330430955
0.6,3.1,55.4,5.68,68.9,65.0,1.5,False,False,True,7.248799999999997,0.37716392207611243
112.0,4.5,13.8,8.0,16.0,17.6,3.0,False,True,False,1.9997999999999991,0.32995635429777015
112.0,4.5,13.8,3.61,16.0,17.6,1.5,False,False,True,1.9166,0.3295785861839852
0.6,3.1,55.4,11.14,68.9,65.0,3.0,False,True,False,12.086000000000006,0.29721952227317483
2.51,7.18,14.94,11.7,18.54,26.91,2.94,False,True,False,8.930800000000003,0.8250231163655052
137.0,4.7,34.8,12.0,14.9,45.8,3.0,False,False,True,10.952800000000002,0.4444190692175019
